platform,username,date,url,likes,retweets,comments,views,content
"x","@AzuraETH","Nov 24, 2025 · 4:21 PM UTC","https://nitter.net/AzuraETH/status/1992992093682418066#m",0,0,0,0,"Mỗi đóng góp nhỏ đều quý giá, góp phần xoa dịu khó khăn cho đồng bào vùng lũ."
"x","@enterxtra","Nov 24, 2025 · 4:21 PM UTC","https://nitter.net/enterxtra/status/1992991874567573928#m",0,0,0,0,"Thủ tướng phát động ủng hộ đồng bào vùng bão lũ giatgan.com/thu-tuong-phat-d…"
"x","@A2084276","Nov 24, 2025 · 4:13 PM UTC","https://nitter.net/A2084276/status/1992989936035991761#m",1,0,0,5,"Đòi tham gia tái thiết Gaza, Ukraine trong khi dân Việt Nam thì bòn rút thuế, gây lũ lụt rồi kêu các nước hổ trợ. Có mấy bao gạo heo cũng không thèm ăn mang qua Nam Phi khoe. 🤮"
"x","@khuongchieu","Nov 24, 2025 · 3:40 PM UTC","https://nitter.net/khuongchieu/status/1992981684032254432#m",0,0,0,11,"các nước ủng hộ bão lũ việt nam điều đó thật đáng trân trọng. Nếu quốc gia không có ý nghĩa cao với các nước chắc vẫn như mấy trục năm trước ngoài nga ,cuba,lào ...chẳng nước mỹ hay mấy thằng đệ mỹ nào giúp"
"x","@hubilandvn","Nov 24, 2025 · 7:02 AM UTC","https://nitter.net/hubilandvn/status/1992851268189237497#m",110,47,0,1376,"#HANBIN_Ơi_PROJECT #HANBIN_Ơi_14 CHUNG SỨC CÙNG ĐỒNG BÀO MIỀN TRUNG, TÂY NGUYÊN KHẮC PHỤC HẬU QUẢ MƯA LŨ Bạn thân mến, Những ngày qua, mưa lớn kéo dài gây lũ lớn và sạt nở nghiêm trọng tại nhiều tỉnh miền Trung và Tây Nguyên của nước ta. Thiệt hại về người và tài sản là vô cùng lớn. Để góp phần chung tay cùng Đảng, Nhà nước và nhân dân vùng thiên tai khắc phục hậu quả và sớm ổn định lại cuộc sống, phát huy truyền thống đoàn kết, tinh thần “tương thân, tương ái”, “lá lành đùm lá rách” của dân tộc. Hưởng ứng lời kêu gọi của Ủy ban Mặt trận Tổ quốc Việt Nam, HubiLandvn xin mở quỹ 'Hanbin_Ơi_14' để cùng Cộng đồng fan Hanbin gửi chút tấm lòng đến đồng bào miền Trung, Tây Nguyên. Mọi hỗ trợ thông qua HubiLandvn xin gửi bằng cách sau: 🌻 Qua tài khoản ngân hàng của HubiLandvn (tài khoản duy nhất và dành riêng cho các Project HANBIN_Ơi) 🔹Số tài khoản: 868 98 0119 🔹Ngân hàng MB Bank (Ngân hàng thương mại cổ phần Quân đội) 🔹Tên tài khoản: MAI NAM ANH 🔹Nội dung chuyển khoản: Tên (khi công khai danh sách) + Hanbin Oi 14 🗓 Thời hạn nhận: Đến 23h ngày 26/11/2025 (Thứ 4) Toàn bộ số tiền HubiLandvn nhận được đến thời điểm kể trên sẽ được chuyển đến tài khoản của Mặt trận Tổ quốc Việt Nam với danh nghĩa 'Cộng đồng người hâm mộ Hanbin - Ngô Ngọc Hưng'. “Chỉ cần dân ta đồng lòng, không có khăn nào không thể vượt qua!” LOVE from HUBILANDVN 🇻🇳 #한빈아_HANBIN_Ơi_PROJECT #HANBIN #HANBIN_TEMPEST #한빈 #한빈아_HANBIN_Ơi #HubiLandvn"
"x","@LThHngBch2","Nov 24, 2025 · 3:26 PM UTC","https://nitter.net/LThHngBch2/status/1992978179041165695#m",6,0,0,229,"Nhà bè nổi này có thể chống lũ được , nước dâng cao bao nhiêu thì nhà bè dâng lên bấy nhiêu . Bà con ở các vùng nước lên hay vùng lũ , nên có cái nhà này để trụ nhe ."
"x","@grok","Nov 24, 2025 · 3:16 PM UTC","https://nitter.net/grok/status/1992975626803065191#m",0,0,0,14,"Tôi hiểu lo ngại của bạn về số liệu chính thức. Tôi đã kiểm tra từ nhiều nguồn quốc tế như Reuters, BBC, Guardian: Lũ lụt miền Trung Việt Nam tháng 11/2025 gây khoảng 90-91 người chết, chủ yếu ở Đắk Lắk. Về xả lũ thủy điện và kiểm duyệt, có báo cáo từ dân địa phương nhưng chưa có xác nhận độc lập rộng rãi. Tổng hợp video dân quay có thể hữu ích, nhưng cần xác minh để tránh thông tin sai. Bạn có video cụ thể nào để phân tích?"
"x","@Tony_Buoi_Sang","Nov 23, 2025 · 2:37 AM UTC","https://nitter.net/Tony_Buoi_Sang/status/1992422267133812840#m",449,13,147,27723,"Có nhiều bé nói ngại ngùng quá, khi thấy mọi người ủng hộ tiền triệu tiền tỷ, mà mình chỉ gửi cho đồng bào lũ lụt có 1 ít thôi, nên âm thầm không dám đăng lên. Sáng nay tui kể cho các bé nghe 1 câu chuyện nổi tiếng trong sách giáo khoa phương Tây nhen, hầu như ai cũng biết nên kiến thức Đông Tây kim cổ tui nhớ gì thì kể lại. Các bé nghe xong thì không ngại nữa nhen. Ngày xưa, trước đền thờ Jerusalem có 1 hòm công đức để mọi người góp. Người giàu có đến dâng vàng bạc, mỗi lần dâng nhiều thì người đang đứng xem sẽ ồ à, kính nể, yêu mến (giống bây giờ mỗi lần thấy ai chiển phản trăm triệu cho người nghèo là ở dưới mấy trăm cái còm ngưỡng mộ). Xong có một goá phụ (phụ nữ chồng mất) nghèo khổ đi tới, bỏ vào hòm công đức ấy 2 đồng xu, mọi người không ai nói gì, có người còn có ý chê bai, cho đi gì mà chỉ có 2 đồng bạc lẻ vậy. Nhưng Chúa Jesus nhìn thấy, sau đó nói với các môn đồ ""đại đa số con người chỉ cho đi phần của cải mà người ta dư dả, riêng người goá phụ ấy đã cho đi bằng sự thiếu thốn của mình,"" (này tui diễn giải theo ý mình vì chuyện xưa đọc lâu quá không nhớ rõ nhen). Vấn đề không phải là số lượng, mà là tấm lòng. Hễ có lòng thì trời xanh sẽ thấy. *Hình tui chụp ly nước lựu rất ngon trước 1 đền thờ ở Jerusalem. Tháng 11, cây phong (maple) xung quanh ngôi đền đã trổ vàng. Tui nhặt 1 lá lên, gắn lên vòi hút để chụp hình cho dễ thương. Ngô đồng nhất diệp lạc Thiên hạ cộng tri thu."
"x","@grok","Nov 24, 2025 · 3:00 PM UTC","https://nitter.net/grok/status/1992971591211421889#m",0,0,1,7,"Dữ liệu từ NOAA về thiên tai (bão, lũ, cháy rừng) ở Mỹ: - 2022: 474 người thiệt mạng, thiệt hại ~175 tỷ USD. - 2023: 492 người, ~93 tỷ USD. - 2024: 568 người, ~183 tỷ USD. - 2025 (dữ liệu tạm tính đến 11/2025): Thiệt hại >101 tỷ USD (nửa đầu năm), số người chết chưa đầy đủ, ước tính hàng trăm. Nguồn: NOAA, Yale Climate. Dữ liệu có thể cập nhật."
"x","@Ryo_Anderson","Nov 24, 2025 · 2:58 PM UTC","https://nitter.net/Ryo_Anderson/status/1992970982051688751#m",0,0,1,10,"@grok năm 2022-2023-2024-2025 Mỹ có bao nhiêu người thiệt mạng do thiên tại bão lũ rừng năm và thiệt hại kinh tế bao nhiêu"
