"date","title","content","platform","comments"
"2025-12-02","Xử phạt người đăng tin thất thiệt ""hàng trăm người chết do lũ ở Hòa Thịnh""","Ông N.S.G. đăng tải lên Facebook ghi lại cảnh một người phụ nữ thông tin sai sự thật về số người tử vong do mưa lũ tại xã Hòa Thịnh, tỉnh Đắk Lắk.","Dân trí","0"
"2025-12-02","Công an TPHCM tặng quà, hỗ trợ dọn dẹp trường học sau bão lũ","Lực lượng Công an TPHCM đã có nhiều hoạt động chung tay khôi phục trường học, sớm đưa học sinh trở lại lớp; đồng thời, thăm khám sức khoẻ, tặng quà cho bà con vùng lũ miền Trung.","Dân trí","0"
"2025-12-02","Mã số 250508: Người dân ước ao không còn cảnh phải phá mái nhà giữ mạng sống cả gia đình","Mưa lũ đổ về, nỗi bất an của người dân sinh sống tại các vùng trũng tỉnh Đắk Lắk lại tăng lên. Nhiều người thấp thỏm lo chạy lũ và khát khao có được căn nhà phao để giữ lấy sự an toàn cho gia đình.","Dân trí","0"
"2025-12-02","Nước lũ cuốn sập bờ kè ở sông Ba, mở ra dòng chảy dài 1,5km","Một phần bờ kè kiên cố gần cầu Dinh Ông (xã Tây Hòa, tỉnh Đắk Lắk) dọc sông Ba đã bị nước lũ cuốn, tạo thành dòng chảy rộng khoảng 100m, kéo dài 1,5km.","Dân trí","0"
"2025-12-01","Cần khẩn cấp xử lý núi rác sau lũ","Ngay lúc này, việc khử trùng, thu gom rác, phân loại rác nguy hại, xử lý bùn nhiễm hóa chất… ở vùng lũ cần có sự chung tay từ các địa phương khác và sự hỗ trợ từ trung ương.","Dân trí","0"
"2025-12-01","Cảnh báo mưa rất to từ Quảng Ngãi đến Khánh Hòa","Khu vực phía Đông các tỉnh từ Quảng Ngãi đến Đắk Lắk và Khánh Hòa sắp có mưa vừa, mưa to, cục bộ có nơi mưa rất to, theo Ban Chỉ đạo Phòng thủ dân sự quốc gia.","Dân trí","0"
"2025-11-30","Triển khai ""chiến dịch Quang Trung"" thần tốc xây nhà giúp người dân vùng lũ","Thủ tướng Phạm Minh Chính yêu cầu địa phương, đơn vị phát động, triển khai ""chiến dịch Quang Trung"" mang tính thần tốc, táo bạo để xây dựng nhà ở cho các gia đình bị cuốn trôi, sập đổ do mưa lũ.","Dân trí","0"
"2025-11-28","Kiệt sức bởi thiên tai dồn dập, người dân cầu mong bão Koto không vào","Chưa kịp gượng dậy sau cơn bão số 13 và trận lũ dữ, người dân Đắk Lắk ""thót tim"" khi hay tin bão số 15 có thể đổ bộ, nỗi lo lắng lại dâng lên khiến bà con mất ăn mất ngủ.","Dân trí","0"
"2025-12-01","Khởi công nhà Nhân ái ở Đắk Lắk, giúp người dân tái thiết cuộc sống sau lũ","Bạn đọc báo Dân trí hỗ trợ 100 triệu đồng, giúp một hộ dân ở tỉnh Đắk Lắk có nhà bị lũ cuốn sập hoàn toàn, xây dựng lại ngôi nhà mới khang trang.","Dân trí","0"
"2025-11-28","Lũ kéo giường lên mái nhà vừa xong, người dân lại lo bão Koto ập tới","Lũ lịch sử ở xã Đồng Xuân (Đắk Lắk) có nơi nước dâng 8m, cuốn trôi tài sản của người dân treo lên mái nhà. Hậu quả do lũ còn ngổn ngang, người dân lại canh cánh nỗi lo bão Koto sắp đổ bộ.","Dân trí","0"
